url,number,title,user,state,assignee,comments,created_at,updated_at,closed_at,body
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/456,456,Small Error Handle Fix,@{login=jon-maddocks,closed,#VALUE!,0,2023-04-16T15:55:44Z,2023-04-17T00:36:02Z,2023-04-17T00:36:01Z,#NAME?
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/455,455,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-16T15:52:34Z,2023-04-17T00:20:18Z,2023-04-17T00:20:17Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/454,454,Loesel home page graph fix,@{login=loesel19,closed,#VALUE!,0,2023-04-15T14:45:55Z,2023-04-15T14:49:46Z,2023-04-15T14:49:46Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/453,453,Loesel home page graph fix,@{login=loesel19,closed,#VALUE!,0,2023-04-15T00:27:36Z,2023-04-15T01:46:13Z,2023-04-15T01:46:13Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/452,452,Fix Demographics Page Null Error,@{login=turtlesmew,closed,#VALUE!,0,2023-04-14T21:07:14Z,2023-04-15T00:23:39Z,2023-04-15T00:23:38Z,"- Fixed the issue that caused the null error on Thursday
- Fixed the UpdateDemographicsInfo. This was VERY redundant code. I imagine it got messed up in a merge
**Other Random changes**
- Changed the error message when saving on Volunteer General & Demographics to include dropdowns with no error message provided _(the border turns red, but because there was no value, it does not show the text)_
![image](https://user-images.githubusercontent.com/70655911/232153596-97178d9c-0757-4363-be63-3b0885f6a5fa.png)
- Added a missing error message to AddVolunteer
![image](https://user-images.githubusercontent.com/70655911/232154134-f48cf8bb-7c39-49ae-9843-74e589d12ee1.png)
- fixed a bug that caused the cancel prompt to show every time you try to exit AddVolunteer even if no changes were made to the page. This causes all dropdowns (except state) to have no selection instead of defaulting to the first option.
![image](https://user-images.githubusercontent.com/70655911/232154615-a126cec1-2d29-4a4c-8436-cd100dfd91c2.png)

"
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/451,451,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-14T19:47:25Z,2023-04-15T00:27:26Z,2023-04-15T00:27:26Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/450,450,T moody admin refresh deleted volunteers,@{login=T-Moody,closed,#VALUE!,0,2023-04-14T14:21:29Z,2023-04-14T21:54:39Z,2023-04-14T21:54:39Z,Added refreshing to admin task page.
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/449,449,Added Teacher name and room number to the child assignments.,@{login=ChristopherWashburn,closed,#VALUE!,0,2023-04-14T01:43:01Z,2023-04-14T21:53:10Z,2023-04-14T21:53:10Z,Added a string to the Child Assignments data grid that concatenates the room number and teacher name and displays it with each child assignment.
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/448,448,Loesel last bug fixes,@{login=loesel19,closed,#VALUE!,1,2023-04-13T21:53:17Z,2023-04-13T23:35:42Z,2023-04-13T22:00:07Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/447,447,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-13T20:57:57Z,2023-04-13T21:28:49Z,2023-04-13T21:28:49Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/446,446,School - Per School,@{login=nickburger1,open,#VALUE!,0,2023-04-13T11:57:14Z,2023-04-13T11:57:14Z,,"@loesel19 

Page is fully functional and the performance has been improved drastically. "
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/445,445,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-13T11:22:11Z,2023-04-13T11:22:21Z,2023-04-13T11:22:21Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/444,444,Loesel annual check fix,@{login=loesel19,closed,#VALUE!,0,2023-04-13T05:29:14Z,2023-04-13T05:31:32Z,2023-04-13T05:31:31Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/443,443,Kiefer final changes,@{login=Wingstrike7,closed,#VALUE!,0,2023-04-13T01:43:51Z,2023-04-13T04:16:48Z,2023-04-13T04:16:48Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/442,442,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-13T01:04:19Z,2023-04-13T04:09:03Z,2023-04-13T04:09:02Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/441,441,classroom time fix,@{login=loesel19,closed,#VALUE!,0,2023-04-12T23:45:58Z,2023-04-12T23:49:43Z,2023-04-12T23:49:43Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/440,440,T moody admin task page edit needs and conditions,@{login=T-Moody,closed,#VALUE!,1,2023-04-12T23:34:43Z,2023-04-13T01:13:24Z,2023-04-12T23:54:17Z,"- Added edit buttons to the condition and needs datagrids on the admin task page.
- Added the new database methods to the student provider."
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/439,439,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-12T23:34:35Z,2023-04-12T23:48:47Z,2023-04-12T23:48:46Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/438,438,Nathan error handling,@{login=nlvansne,closed,#VALUE!,0,2023-04-12T23:11:31Z,2023-04-12T23:33:03Z,2023-04-12T23:33:03Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/437,437,Fix0classroom size issue,@{login=loesel19,closed,#VALUE!,0,2023-04-12T22:02:32Z,2023-04-12T22:05:04Z,2023-04-12T22:05:04Z,
https://api.github.com/repos/CSCapstone23/Capstone-FGMS/issues/436,436,Fix bug 434,@{login=turtlesmew,closed,#VALUE!,0,2023-04-12T17:42:03Z,2023-04-12T19:36:36Z,2023-04-12T19:36:36Z,"![image](https://user-images.githubusercontent.com/70655911/231539767-bf9ea11d-9690-4313-a82c-80886c70ef02.png)

- Better Enforces Gender selection
- Makes dropdown error message consistent with the demographics page"
